[dfdjkdkjldfakjdfasjkòldfasòkjldfaòkljadfsòkljadfskjlòdfas,  1622114191952500] d
[dfsfsd,  1622114915278455] sd


[dfsfsd,  1622114915424527] f


[dfsfsd,  1622114915526747] sdf


[dfsfsd,  1622114915747242] fs


[dfsfsd,  1622114915863969] f


[dfsfsd,  Thu May 27 13:28:36 2021] [31m-- Left the chat
[0m
[f,  1622114924783386] d


[f,  1622114925056523] d


[f,  1622114925291500] d


[f,  1622114925517292] d


[f,  1622114925732371] dd


[f,  1622114925921287] d


[f,  1622114926105976] d


[f,  1622114926274230] d


[f,  Thu May 27 13:28:47 2021] [31m-- Left the chat
[0m
[fdfdfd,  1622114934515704] d


[fdfdfd,  1622114934860613] d


[fdfdfd,  1622114935192170] d


[fdfdfd,  1622114935669421] d


[fdfdfd,  1622114935994829] d


[fdfdfd,  1622114936306219] d


[fdfdfd,  1622114936591604] d


[fdfdfd,  Thu May 27 13:28:57 2021] [31m-- Left the chat
[0m
[andrea,  1622114947874211] d


[andrea,  1622114949230593] s


[andrea,  1622114949998934] d


[andrea,  1622114950633691] f


[andrea,  Thu May 27 13:29:11 2021] [31m-- Left the chat
[0m
[Andrea Sanchietti,  1622114961454790] d


[Andrea Sanchietti,  1622114962300339] d


[Andrea Sanchietti,  1622115021681270] a


[Andrea snchietti,  1622115072345631] asdfgh


[Andrea Sanchietti,  1622115171533988] d


[Andrea Sanchietti,  Thu May 27 15:37:13 2021] [32m-- Join the chat
[0m
[asdfhjklòdsfkljdsfjkl,  Thu May 27 15:39:09 2021] [32m-- Join the chat
[0m
[fdsffasdfasdfasfasd,  Thu May 27 15:42:57 2021] [32m-- Join the chat
[0m
[gdfkjlndfgklgfd,  Thu May 27 15:43:45 2021] [32m-- Join the chat
[0m
[sdfedfwfdfdsdfsdfsaadfsdsfa
,  Thu May 27 16:10:32 2021] [32m-- Join the chat
[0m
[dfs
,  Thu May 27 16:11:29 2021] [32m-- Join the chat
[0m
[dfs
,  1622124692476529] d


[dfs
,  1622124693445206] d


[dfs
,  1622124694020101] g


[dfs
,  1622124694562580] a


[dfs
,  1622124695605991] sgsdfgfdg


[dfs
,  Thu May 27 16:11:37 2021] [31m-- Left the chat
[0m
[sdafjkhsdfhjklsdfajkhldsf
,  Thu May 27 16:11:42 2021] [32m-- Join the chat
[0m
[ddfdf
,  Thu May 27 16:12:28 2021] [32m-- Join the chat
[0m
[ddfdf
,  1622124750212370] d


[dff
,  Thu May 27 16:12:42 2021] [32m-- Join the chat
[0m
[dff
,  1622124764177778] And


[dff
,  Thu May 27 16:12:53 2021] [31m-- Left the chat
[0m
[sdfajlkhsdfahjklsdfahjkljhklasdf
,  Thu May 27 16:12:57 2021] [32m-- Join the chat
[0m
[Andrea
,  Thu May 27 16:18:33 2021] [32m-- Join the chat
[0m
[Andrea
,  1622125113906805] d


[Andrea
,  Thu May 27 16:19:16 2021] [32m-- Join the chat
[0m
[Andrea
,  1622125158729772] hi


[fddfd
,  Thu May 27 16:23:58 2021] [32m-- Join the chat
[0m
[fddfd
,  1622125439127005] f


[sdfjkhdsfjhdfjhk
,  Thu May 27 16:29:06 2021] [32m-- Join the chat
[0m
[d
,  Thu May 27 16:34:24 2021] [32m-- Join the chat
[0m
[d
,  1622126065229408] f


[d
,  1622126065459307] f


[d
,  1622126065655378] f


[d
,  1622126065838314] f


[d
,  1622126068639875] ffdsailjjklòdfajklsdfajklòfadslksfadkjlsdfakjlfskfksdjòljkasdflòjkladòsflòfuiojerjuikrhnefdjkhneruiadmfgvjakmruihnedfsuardfheksngvcjhuiknmardfesg


[d
,  1622126076874274] u8iojrefdiojukredjikuorefdijkourefsdijkouresfdijkuoresfdijokurefsdaijuokrfedasijukorefdsiujokrfedsijkumrfedsijkuomrefdsijukoredfsjuikha<erdsuhjikaredfuihjkredfgvuhjikredfgvahujikrgefvdhujikrgefdvhujikrfedgvhujrikgfvdehuijrkfgvdehruijkfgdlvehujirkeldgfverhujidfgksvlredhuifgjkvrgihedufjvredgvfiuhjergvihujrguihjkredgihujkredgfiuhjrgedfihujrgedfviuhjkredgfvihujkregdfviuhjkregdfiuhjkrdgevfuhjiredgkfuhjikredgf


[d
,  Thu May 27 16:39:17 2021] [31m-- Left the chat
[0m
[And
,  Thu May 27 16:39:38 2021] [32m-- Join the chat
[0m
[And
,  1622126379462443] s


[And
,  1622126379887441] d


[And
,  1622126380324042] g


[And
,  1622126380777169] d


[And
,  1622126381464080] a


[And
,  Thu May 27 16:39:42 2021] [31m-- Left the chat
[0m
[Asdasdjfsadf
,  Thu May 27 16:43:39 2021] [32m-- Join the chat
[0m
[asdfdfsdfa
,  Thu May 27 16:43:53 2021] [32m-- Join the chat
[0m
[fd
,  Thu May 27 16:53:28 2021] [32m-- Join the chat
[0m
[fd
,  1622127208733874] d


[fd
,  1622127209038264] d


[fd
,  1622127209338154] g


[fd
,  1622127209814659] asd


[fd
,  Thu May 27 16:53:43 2021] [31m-- Left the chat
[0m
[dd
,  Thu May 27 16:57:06 2021] [32m-- Join the chat
[0m
[dd
,  1622127427512647] d


[dd
,  1622127428049542] g


[dd
,  1622127428624741] a


[dd
,  Thu May 27 16:57:09 2021] [31m-- Left the chat
[0m
[s
,  Thu May 27 16:58:15 2021] [32m-- Join the chat
[0m
[s
,  1622127495655384] d


[s
,  1622127496086395] g


[s
,  1622127496538291] d


[s
,  Thu May 27 16:58:17 2021] [31m-- Left the chat
[0m
[dfs,  Thu May 27 16:58:58 2021] [32m-- Join the chat
[0m
[dfs,  1622127538879099] d


[dfs,  1622127539522259] g


[dfs,  1622127540215267] sd


[dfs,  1622127540806429] fdgf


[dfs,  1622127540992043] fgd


[dfs,  1622127541110229] dsfg


[dfs,  1622127541252802] d


[dfs,  1622127541357052] sgf


[dfs,  1622127541487630] sdgf


[dfs,  1622127541624110] gfds


[dfs,  Thu May 27 16:59:02 2021] [31m-- Left the chat
[0m
[dsafdfsdsfadasf,  Thu May 27 16:59:08 2021] [32m-- Join the chat
[0m
[dsdsd,  Thu May 27 17:06:21 2021] [32m-- Join the chat
[0m
[dsdsd,  1622127982623730] d


[dsdsd,  1622127983246301] g


[dsdsd,  1622127983843263] a


[dsdsd,  1622127984281175] ds


[dsdsd,  1622127984464746] af


[dsdsd,  1622127984606847] sdf


[dsdsd,  1622127984738094] saf


[dsdsd,  Thu May 27 17:06:36 2021] [31m-- Left the chat
[0m
[dsdfsdf,  Thu May 27 17:06:42 2021] [32m-- Join the chat
[0m
[Andrea Sanch,  Thu May 27 17:08:00 2021] [32m-- Join the chat
[0m
[And,  Thu May 27 17:09:35 2021] [32m-- Join the chat
[0m
[And,  1622128175994263] d


[And,  1622128176424217] g


[And,  1622128176714602] a


[And,  1622128176956057] ds


[And,  1622128177472738] dg


[And,  1622128178396807] d


[And,  1622128178894945] hg


[And,  1622128180918026] dsjildfsjikldfs


[And,  1622128186808883] dsfkdskjldfkadfafddkjlghjgiqweiowqerhjsxcnmcxioreioherbjkvfuiohioèsdcvqwferiwrqjkerihodsvcioè


[Andrea,  Thu May 27 17:13:40 2021] [32m-- Join the chat
[0m
[Andrea,  1622128421032531] d


[Andrea,  Thu May 27 17:14:16 2021] [32m-- Join the chat
[0m
[ddfd,  Thu May 27 17:20:31 2021] [32m-- Join the chat
[0m
[ddfd,  1622128832922825] dfkljasdklfsakjlfjlasjdkfl


[ddfd,  1622128838220054] asdfasdjklhfhjasòddfhjsahjdfhjashjdfasjkhdfasdfhwhruijahjkwjuhikrdewauhjiekwdsuhjikrauhjikwerasfduhjikferdasfurhjeaikdfreuhjikfreauhjikfaruhjikfreuhjireuhjreuhjariedhurfedhujirkefdasuhjikrfdeuhijrfedasuhijrfed


[ddfd,  1622128845905139] sdfasdjklhfhjasòddfhjsahjdfhjashjdfasjkhdfasdfhwhruijahjkwjuhikrdewauhjiekwdsuhjikrauhjikwerasfduhjikferdasfurhjeaikdfreuhjikfreauhjikfaruhjikfreuhjireuhjreuhjariedhurfedhujirkefdasuhjikrfdeuhijrfedasuhijrfedsdfasdjklhfhjasòddfhjsahjdfhjashjdfasjkhdfasdfhwhruijahjkwjuhikrdewauhjiekwdsuhjikrauhjikwerasfduhjikferdasfurhjeaikdfreuhjikfreauhjikfaruhjikfreuhjireuhjreuhjariedhurfedhujirkefdasuhjikrfdeuhijrfedasuhijrfed


[ddfd,  1622128858245513] sdfasdjklhfhjasòddfhjsahjdfhjashjdfasjkhdfasdfhwhruijahjkwjuhikrdewauhjiekwdsuhjikrauhjikwerasfduhjikferdasfurhjeaikdfreuhjikfreauhjikfaruhjikfreuhjireuhjreuhjariedhurfedhujirkefdasuhjikrfdeuhijrfedasuhijrfedsdfasdjklhfhjasòddfhjsahjdfhjashjdfasjkhdfasdfhwhruijahjkwjuhikrdewauhjiekwdsuhjikrauhjikwerasfduhjikferdasfurhjeaikdfreuhjikfreauhjikfaruhjikfreuhjireuhjreuhjariedhurfedhujirkefdasuhjikrfdeuhijrfedasuhijrfedsdfasdjklhfhjasòddfhjsahjdfhjashjdfasjkhdfasdfhwhruijahjkwjuhikrdewauhjiekwdsuhjikrauhjikwerasfduhjikferdasfurhjeaikdfreuhjikfreauhjikfaruhjikfreuhjireuhjreuhjariedhurfedhujirkefdasuhjikrfdeuhijrfedasuhijrfedsdfasdjklhfhjasòddfhjsahjdfhjashjdfasjkhdfasdfhwhruijahjkwjuhikrdewauhjiekwdsuhjikrauhjikwerasfduhjikferdasfurhjeaikdfreuhjikfreauhjikfaruhjikfreuhjireuhjreuhjariedhurfedhujirkefdasuhjikrfdeuhijrfedasuhijrfed


[ddfd,  1622128882162817] sdfasdjklhfhjasòddfhjsahjdfhjashjdfasjkhdfasdfhwhruijahjkwjuhikrdewauhjiekwdsuhjikrauhjikwerasfduhjikferdasfurhjeaikdfreuhjikfreauhjikfaruhjikfreuhjireuhjreuhjariedhurfedhujirkefdasuhjikrfdeuhijrfedasuhijrfed


[ddfd,  1622128887238807] sdfasdjklhfhjasòddfhjsahjdfhjashjdfasjkhdfasdfhwhruijahjkwjuhikrdewauhjiekwdsuhjikrauhjikwerasfduhjikferdasfurhjeaikdfreuhjikfreauhjikfaruhjikfreuhjireuhjreuhjariedhurfedhujirkefdasuhjikrfdeuhijrfedasuhijrf


[ddfd,  1622128894180913] sdfasdjklhfhjasòddfhjsahjdfhjashjdfasjkhdfasdfhwhruijahjkwjuhikrdewauhjiekwdsuhjikrauhjikwerasfduhjikferdasfurhjeaikdfreuhjikfreauhjikfaruhjikfreuhjireuhjreuhjariedhurfedhujirkefdasuhjikrfdeuhijrfedasuhijrfed


[ddfd,  1622128895919901] ds


[ddfd,  1622128899442899] sdfasdjklhfhjasòddfhjsahjdfhjashjdfasjkhdfasdfhwhruijahjkwjuhikrdewauhjiekwdsuhjikrauhjikwerasfduhjikferdasfurhjeaikdfreuhjikfreauhjikfaruhjikfreuhjireuhjreuhjariedhurfedhujirkefdasuhjikrfdeuhijrfedasuhijrf


[ddfd,  1622128904504542] f


[ddfd,  Thu May 27 17:23:00 2021] [31m-- Left the chat
[0m
[Andrea,  Thu May 27 17:23:25 2021] [32m-- Join the chat
[0m
[Andrea,  1622129006604580] d


[Andrea,  Thu May 27 17:28:24 2021] [32m-- Join the chat
[0m
[Andrea,  1622129304830973] d


[Andrea,  Thu May 27 17:29:08 2021] [32m-- Join the chat
[0m
[ddfs,  Thu May 27 17:33:06 2021] [32m-- Join the chat
[0m
[ddfs,  1622129587255621] d


[ddfs,  1622129587840870] g


[ddfs,  1622129588467037] d


[ddfs,  1622129588744907] a


[ddfs,  1622129588909458] s


[ddfs,  1622129589071757] d


[ddfs,  Thu May 27 17:33:09 2021] [31m-- Left the chat
[0m
[Andrea s,  Thu May 27 17:33:17 2021] [32m-- Join the chat
[0m
[Andrea,  Thu May 27 17:36:23 2021] [32m-- Join the chat
[0m
[d,  Thu May 27 17:53:26 2021] [32m-- Join the chat
[0m
[A,  Thu May 27 17:54:21 2021] [32m-- Join the chat
[0m
[A,  1622130862755499] d


[A,  1622130863287298] g


[A,  1622130863714487] dd


[A,  1622130863870265] d


[A,  1622130863999089] d


[A,  1622130864244624] d


[A,  1622130864521116] ddfs


[A,  1622130864807285] fdfd


[A,  1622130864954971] df


[A,  1622130865212785] df


[A,  1622130865353939] df


[A,  1622130865472562] df


[A,  1622130865605217] df


[A,  1622130865733407] dfs


[A,  1622130865873514] sda


[A,  1622130866055807] fdfs


[A,  1622130866245485] dsf


[A,  1622130866480549] d


[A,  1622130866705662] d


[A,  1622130866937684] da


[A,  1622130867148472] g


[A,  1622130867364033] g


[A,  1622130867543554] dhg


[A,  1622130867749525] h


[A,  1622130867956296] tyrj


[A,  1622130868138830] tuyj


[A,  1622130868312541] yuk


[A,  1622130868482272] uiyk


[A,  1622130868682034] uik


[A,  1622130868855855] uik


[A,  1622130869213727] jm


[A,  1622130869406150] ryn


[A,  1622130869579117] vb


[A,  1622130869774472]  wr


[A,  1622130869966388]  


[A,  1622130870129604] t


[A,  1622130870339553]  


[A,  1622130870537624] nh


[A,  1622130870913621] k8


[A,  1622130871091922] l


[Ad,  Thu May 27 17:54:42 2021] [32m-- Join the chat
[0m
[Ad,  1622130882831818] d


[Ad,  1622130883097313] g


[Ad,  1622130883292857] g


[Ad,  1622130883490595] g


[Ad,  1622130883682983] hg


[Ad,  1622130883826503] h


[Ad,  1622130883988976] h


[Ad,  1622130884130300] h


[Ad,  1622130884277343] h


[Ad,  1622130884555216] df


[Ad,  1622130884680503] as


[Ad,  1622130885031888] v


[Ad,  Thu May 27 17:54:45 2021] [31m-- Left the chat
[0m
[Andre,  Thu May 27 17:55:03 2021] [32m-- Join the chat
[0m
[Andre,  1622130904214396] d


[Andre,  1622130904830588] g


[Andre,  1622130905470294] d


[Andre,  1622130905939229] a


[Andre,  1622130906325289] s


[Andre,  1622130906837290] df


[Andre,  1622130907293083] g


[Andre,  1622130907707436] h


[Andre,  1622130908103118] y


[Andre,  1622130908546234] g


[Andre,  1622130909811641] jh


[Andre,  1622130910805767] dfgsdfg


[Andre,  1622130911423261] f


[Andre,  1622130911997216] d


[Andre,  Thu May 27 17:55:17 2021] [31m-- Left the chat
[0m
[Andrea,  Thu May 27 17:55:22 2021] [32m-- Join the chat
[0m
[Andrea,  1622130923303591] d


[Andrea,  1622130924054442] g


[Andrea,  1622130924682140] hg


[Andrea,  1622130925137549] f


[Andrea,  1622130925454285] d


[Andrea,  1622130925759972] a


[Andrea,  1622130926076400] a


[Andrea,  1622130926353731] s


[Andrea,  1622130926611037] g


[Andrea,  Thu May 27 17:55:31 2021] [31m-- Left the chat
[0m
[Andreas,  Thu May 27 17:55:37 2021] [32m-- Join the chat
[0m
[Andreas,  1622130937888612] d


[Andrea s,  Thu May 27 17:59:11 2021] [32m-- Join the chat
[0m
[ASdfjiaskjdfjhasjkhfsad,  Thu May 27 18:28:20 2021] [32m-- Join the chat
[0m
[asdfkjlasdjkljklfkjlsdf,  Thu May 27 18:30:45 2021] [32m-- Join the chat
[0m
[asdfkijoasdfjkljklfsajkfa,  1622133179415098] fdasdfsadfsd


[sadfjklhdsfjkhjsdhfak, 1622138120070134] ] d[3~


[sadfjklhdsfjkhjsdhfak, 1622138121576919] ] fsdfsdf


[sadfjklhdsfjkhjsdhfak, 1622138123117843] ] dfdf


[sadfjklhdsfjkhjsdhfak, 1622138124024710] ] d


[sadfjklhdsfjkhjsdhfak, 1622138124894919] ] ggg


[sadfjklhdsfjkhjsdhfak, 1622138126980996] ] hjksdlafòdshjfkhjkdlsf


[sadfjklhdsfjkhjsdhfak, 1622138127868762] ] d


[sadfjklhdsfjkhjsdhfak, 1622138128726800] ] g


[sadfjklhdsfjkhjsdhfak, 1622138130357003] ] hi


[sadfjklhdsfjkhjsdhfak, Thu May 27 19:55:33 2021] ] [31m-- Left the chat
[0m
[hjòasdkfljfhksdlòajhksdlòfajhksadfhjòsòjhfsdòfsjda, 1622138140977722] ] f


[hjòasdkfljfhksdlòajhksdlòfajhksadfhjòsòjhfsdòfsjda, 1622138141642821] ] g


[hjòasdkfljfhksdlòajhksdlòfajhksadfhjòsòjhfsdòfsjda, 1622138142224727] ] t


[hjòasdkfljfhksdlòajhksdlòfajhksadfhjòsòjhfsdòfsjda, Thu May 27 19:56:14 2021] ] [31m-- Left the chat
[0m
[d, 1622138181288453] ] d


[d, 1622138181968479] ] g


[d, 1622138191882600] ] iohjkòlrwefaiojhraecsdfiokljersdfjikrdfesjkixdcrsfnm ,ezv,dfxversjkzcin, mlvdfjkcixn, rml.dfvrcxe kji,lnmvdfcrxe kj,inlmaerdgsvfthànc-hnjtgerfdvhnujgertdfvahuònjio-klegrdtfvauhjòionk-gertdfvuhjòonik-gertadfvuhjiòongerdfhujoiòngrvfdehujnogvhuojòiangdervfrhujangeodrfvtuhjongeratdfvsuhjnoaegrdfvtshujonògvfrdeatsuhjnvgfrdceaujhbònfvgrtdaeujhbvfgujhonvgdfbhujonedfgvrbstcuhjonedgrfvtshujonegrafvtdhujoervaftgdnbhujeoòrtfgvadnbhuoejaòrdfvtgb


[d, 1622138200785396] ] iohjkòlrwefaiojhraecsdfiokljersdfjikrdfesjkixdcrsfnm ,ezv,dfxversjkzcin, mlvdfjkcixn, rml.dfvrcxe kji,lnmvdfcrxe kj,inlmaerdgsvfthànc-hnjtgerfdvhnujgertdfvahuònjio-klegrdtfvauhjòionk-gertdfvuhjòonik-gertadfvuh


[d, 1622138206078352] ] iohjkòlrwefaiojhraecsdfiokljersdfjikrdfesjkixdcrsfnm ,ezv,dfxversjkzcin, mlvdfjkcixn, rml.dfvrcxe kji,lnmvdfcrxe kj,inlmaerdgsvfthànc-hnjtgerfdvhnujgertdfvahuònjio-klegrdtfvauhjòionk-gertdfvuhjòonik-gert


[d, 1622138210614891] ] iohjkòlrwefaiojhraecsdfiokljersdfjikrdfesjkixdcrsfnm ,ezv,dfxversjkzcin, mlvdfjkcixn, rml.dfvrcxe kji,lnmvdfcrxe kj,inlmaerdgsvfthànc-hnjtgerfdvhnujgertdfvahuònjio-klegrdtfvauhjòionk-gertdfvuhjòonik-gerta


[d, 1622138214983982] ] è


[d, 1622138216007138] ] è


[d, 1622138217285093] ] è


[d, 1622138218271081] ] ò


[d, 1622138220416178] ] ergfwwergf


[sdfahjkldfasjhdsfahj, 1622138233791076] ] ddfdf


[sdfahjkldfasjhdsfahj, 1622138234303064] ] ggf


[sdfahjkldfasjhdsfahj, 1622138235044064] ] ghthrt


[d, 1622138238845386] ] dgdsfg


[d, 1622138289202550] ] 3


[d, Thu May 27 19:58:14 2021] ] [31m-- Left the chat
[0m
[Andrea Sanchietti, Thu May 27 19:59:34 2021] ] [31m-- Left the chat
[0m
[d, Thu May 27 19:59:40 2021] ] [31m-- Left the chat
[0m
[sdafdfdsfasdfasdf, 1622138440436746] d] 


[sdafdfdsfasdfasdf, 1622138441135515] g] 


[sdafdfdsfasdfasdf, 1622138441867466] y] 


[sdafdfdsfasdfasdf, 1622138442979439] f] sgdgfsdg


[sdafdfdsfasdfasdf, 1622138444290824] f] f


[sdafdfdsfasdfasdf, 1622138445353287] f] 


[sdafdfdsfasdfasdf, Thu May 27 20:00:46 2021] ] [31m-- Left the chat
[0m
[And, 1622138472781386] ] d


[And, 1622138473262124] ] g


[And, Thu May 27 20:01:14 2021] ] [31m-- Left the chat
[0m
[dfsdfasfasdikjasdjkdfasjk, Thu May 27 20:03:09 2021] ] [32m-- Join the chat
[0m
[dfsdfasfasdikjasdjkdfasjk, Thu May 27 20:03:12 2021] ] [31m-- Left the chat
[0m
[asdfjkhladfskjlkajlsdfjkalfds, Thu May 27 20:03:20 2021] ] [32m-- Join the chat
[0m
[asdfjkhladfskjlkajlsdfjkalfds, 1622138601003349] ] dfasf


[asdfjkhladfskjlkajlsdfjkalfds, 1622138601171164] ] asdf


[asdfjkhladfskjlkajlsdfjkalfds, 1622138601281422] ] as


[asdfjkhladfskjlkajlsdfjkalfds, 1622138601386206] ] df


[asdfjkhladfskjlkajlsdfjkalfds, 1622138601497118] ] asdd


[asdfjkhladfskjlkajlsdfjkalfds, 1622138601619724] ] fas


[asdfjkhladfskjlkajlsdfjkalfds, 1622138602387303] ] fasdf


[asdfjkhladfskjlkajlsdfjkalfds, Thu May 27 20:03:23 2021] ] [31m-- Left the chat
[0m
